scheme,cluster_weight,mean_auc,std_auc,mean_f1,std_f1,mean_accuracy
Classifier Only (0/100),0.0,0.8630886629187957,0.00972439283359298,0.627631607254265,0.04179981593187088,0.9200327752679598
10/90 Cluster/Classifier,0.1,0.9106243059649316,0.02514458252753126,0.6335520512875675,0.04078250504325903,0.9209717424041102
20/80 Cluster/Classifier,0.2,0.9082289424619224,0.02959849103429522,0.6335520512875675,0.04078250504325903,0.9209717424041102
30/70 Cluster/Classifier,0.3,0.904878381064667,0.028544197616957392,0.650056044189076,0.05802938904417706,0.9237930729028256
40/60 Cluster/Classifier,0.4,0.9008952317954725,0.026538117154174236,0.6734539270253557,0.048729227986080655,0.9275577996279564
50/50 Cluster/Classifier,0.5,0.8931026011504091,0.0253094673279781,0.6911490683229815,0.02938484205302109,0.9303835592169369
60/40 Cluster/Classifier,0.6,0.8877763287772644,0.02121497707549555,0.717331941472241,0.03354554229025611,0.935082823987953
70/30 Cluster/Classifier,0.7,0.8843424219694047,0.019163406192962494,0.4734490984056202,0.02763745499117016,0.7365887146780052
Cluster Only (100/0),1.0,0.7729864047465633,0.01755655869836621,0.3647958751417386,0.013572950415869008,0.5174373283727522
